ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_006X5S9	PP_006X5S9.1	ebola-bdbv	HC918458	-:PAT	Sequence 8 from Patent WO2010057650
PP_006X5T7	PP_006X5T7.1	ebola-bdbv	HC918461	-:PAT	Sequence 11 from Patent WO2010057650
PP_006X5U5	PP_006X5U5.1	ebola-bdbv	HV753272	-:PAT	JP 2012509073-A/3: Vector comprising multiple homologous nucleotide sequences
PP_006X5V3	PP_006X5V3.1	ebola-bdbv	HV753275	-:PAT	JP 2012509073-A/6: Vector comprising multiple homologous nucleotide sequences
PP_006X5W1	PP_006X5W1.1	ebola-bdbv	HZ164395	-:PAT	JP 2015128443-A/3: Vector comprising multiple homologous nucleotide sequences
PP_006X5XZ	PP_006X5XZ.1	ebola-bdbv	HZ164398	-:PAT	JP 2015128443-A/6: Vector comprising multiple homologous nucleotide sequences
PP_006X5YX	PP_006X5YX.1	ebola-bdbv	JA489018	-:PAT	Sequence 1 from Patent EP2350270
PP_006X65H	PP_006X65H.1	ebola-bdbv	LQ278388	-:PAT	Sequence 220 from Patent WO2016069853
PP_006X66F	PP_006X66F.1	ebola-bdbv	LQ278392	-:PAT	Sequence 224 from Patent WO2016069853
PP_006X67D	PP_006X67D.1	ebola-bdbv	LQ278396	-:PAT	Sequence 228 from Patent WO2016069853
PP_006X6B5	PP_006X6B5.1	ebola-bdbv	MS811591	-:PAT	Sequence 13 from Patent WO2016189490
