ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_0028E10	PP_0028E10.1	hmpv	CQ840375	-:PAT	Sequence 60 from Patent WO2004057021
PP_0028E2Y	PP_0028E2Y.1	hmpv	CQ840376	-:PAT	Sequence 61 from Patent WO2004057021
PP_0028E3W	PP_0028E3W.1	hmpv	CQ840377	-:PAT	Sequence 62 from Patent WO2004057021
PP_0028E4U	PP_0028E4U.1	hmpv	CQ840378	-:PAT	Sequence 63 from Patent WO2004057021
PP_0028E5S	PP_0028E5S.1	hmpv	CQ840379	-:PAT	Sequence 64 from Patent WO2004057021
PP_0028E6Q	PP_0028E6Q.1	hmpv	CQ840380	-:PAT	Sequence 65 from Patent WO2004057021
PP_0028E7N	PP_0028E7N.1	hmpv	CQ840381	-:PAT	Sequence 66 from Patent WO2004057021
PP_0028E8L	PP_0028E8L.1	hmpv	CQ840382	-:PAT	Sequence 67 from Patent WO2004057021
PP_0028E9J	PP_0028E9J.1	hmpv	CQ840383	-:PAT	Sequence 68 from Patent WO2004057021
PP_0028EAG	PP_0028EAG.1	hmpv	CQ840384	-:PAT	Sequence 69 from Patent WO2004057021
PP_0028EBE	PP_0028EBE.1	hmpv	CQ840385	-:PAT	Sequence 70 from Patent WO2004057021
PP_0028ECC	PP_0028ECC.1	hmpv	CQ840386	-:PAT	Sequence 71 from Patent WO2004057021
PP_0028EDA	PP_0028EDA.1	hmpv	CQ840387	-:PAT	Sequence 72 from Patent WO2004057021
PP_0028EE8	PP_0028EE8.1	hmpv	CQ840388	-:PAT	Sequence 73 from Patent WO2004057021
PP_0028EF6	PP_0028EF6.1	hmpv	CQ840389	-:PAT	Sequence 74 from Patent WO2004057021
PP_0028EG4	PP_0028EG4.1	hmpv	CQ840390	-:PAT	Sequence 75 from Patent WO2004057021
PP_0028EH1	PP_0028EH1.1	hmpv	CQ840391	-:PAT	Sequence 76 from Patent WO2004057021
PP_0028EJZ	PP_0028EJZ.1	hmpv	CQ840392	-:PAT	Sequence 77 from Patent WO2004057021
PP_0028EKX	PP_0028EKX.1	hmpv	CQ840393	-:PAT	Sequence 78 from Patent WO2004057021
PP_0028ELV	PP_0028ELV.1	hmpv	CQ840394	-:PAT	Sequence 79 from Patent WO2004057021
PP_0028EMT	PP_0028EMT.1	hmpv	CQ840395	-:PAT	Sequence 80 from Patent WO2004057021
PP_0028ENR	PP_0028ENR.1	hmpv	CQ840396	-:PAT	Sequence 81 from Patent WO2004057021
PP_0028EPP	PP_0028EPP.1	hmpv	CQ840397	-:PAT	Sequence 82 from Patent WO2004057021
PP_0028EQM	PP_0028EQM.1	hmpv	CQ840398	-:PAT	Sequence 83 from Patent WO2004057021
PP_0028ERK	PP_0028ERK.1	hmpv	CQ840399	-:PAT	Sequence 84 from Patent WO2004057021
PP_0028ESH	PP_0028ESH.1	hmpv	CQ840400	-:PAT	Sequence 85 from Patent WO2004057021
PP_0028ETF	PP_0028ETF.1	hmpv	CQ840401	-:PAT	Sequence 86 from Patent WO2004057021
PP_0028EUD	PP_0028EUD.1	hmpv	CQ840402	-:PAT	Sequence 87 from Patent WO2004057021
PP_0028EVB	PP_0028EVB.1	hmpv	CQ840403	-:PAT	Sequence 88 from Patent WO2004057021
PP_0028EW9	PP_0028EW9.1	hmpv	CQ840404	-:PAT	Sequence 89 from Patent WO2004057021
PP_0028EX7	PP_0028EX7.1	hmpv	CQ840405	-:PAT	Sequence 90 from Patent WO2004057021
PP_0028KHW	PP_0028KHW.1	hmpv	HB384526	-:PAT	Sequence 11426 from Patent WO2006110688
PP_0028KJU	PP_0028KJU.1	hmpv	HB384527	-:PAT	Sequence 11427 from Patent WO2006110688
PP_0028KKS	PP_0028KKS.1	hmpv	HB384528	-:PAT	Sequence 11428 from Patent WO2006110688
PP_0028KLQ	PP_0028KLQ.1	hmpv	HB384529	-:PAT	Sequence 11429 from Patent WO2006110688
