ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_00005PG	PP_00005PG.3	west-nile	JA190480	-:PAT	Sequence 19 from Patent EP2290091
PP_00005QE	PP_00005QE.3	west-nile	JC303437	-:PAT	Sequence 7 from Patent WO2013083847
PP_00020QF	PP_00020QF.3	west-nile	LF621698	-:PAT	JP 2015517649-A/5: MULTIPLEX IMMUNO SCREENING ASSAY
PP_00020RD	PP_00020RD.3	west-nile	LF708859	-:PAT	JP 2016154543-A/20: MGMT-based method for obtaining high yield of recombinant protein expression
PP_00020SB	PP_00020SB.3	west-nile	LG000942	-:PAT	KR 1020150021493-A/25: MODIFIED OLIGONUCLEOTIDES COMPRISING THIOL FUNCTIONS AND THE USE OF SAME FOR THE DETECTION OF NUCLEIC ACIDS
PP_00020T9	PP_00020T9.3	west-nile	LG000943	-:PAT	KR 1020150021493-A/26: MODIFIED OLIGONUCLEOTIDES COMPRISING THIOL FUNCTIONS AND THE USE OF SAME FOR THE DETECTION OF NUCLEIC ACIDS
PP_00020U7	PP_00020U7.3	west-nile	LG018112	-:PAT	KR 1020150016941-A/7: MULTIPLEX IMMUNO SCREENING ASSAY
PP_00026C0	PP_00026C0.3	west-nile	LP944230	-:PAT	Sequence 23 from Patent EP3202897
PP_00026DY	PP_00026DY.3	west-nile	LQ460608	-:PAT	Sequence 1 from Patent EP3061826
PP_00026EW	PP_00026EW.3	west-nile	LQ460623	-:PAT	Sequence 16 from Patent EP3061826
PP_00026GS	PP_00026GS.3	west-nile	LQ564350	-:PAT	Sequence 1 from Patent WO2016135675
PP_00026HP	PP_00026HP.3	west-nile	LQ564365	-:PAT	Sequence 16 from Patent WO2016135675
PP_00026ND	PP_00026ND.3	west-nile	LQ868182	-:PAT	Sequence 30 from Patent EP3364950
PP_00026PB	PP_00026PB.3	west-nile	LQ868183	-:PAT	Sequence 31 from Patent EP3364950
PP_00026Q9	PP_00026Q9.3	west-nile	LQ868184	-:PAT	Sequence 32 from Patent EP3364950
PP_00026R7	PP_00026R7.3	west-nile	LQ868185	-:PAT	Sequence 33 from Patent EP3364950
PP_00026S5	PP_00026S5.3	west-nile	LQ868186	-:PAT	Sequence 34 from Patent EP3364950
PP_00026T3	PP_00026T3.3	west-nile	LQ868187	-:PAT	Sequence 35 from Patent EP3364950
