field	raw_value	count	organisms	proposed_value	confidence	note	preserve_detail_to_sequencingProtocol
sequencingInstrument	Illumina Miseq	218	measles,mpox,west-nile	Illumina MiSeq	auto	case-only diff; process_options lowercases+collapses whitespace, resolves on reprocess without SQL	
sequencingInstrument	MinIon	119	rsv-a,rsv-b	MinION	auto	case-only diff, resolves on reprocess	
sequencingInstrument	Illumina	71	measles,mpox,rsv-a,rsv-b	ILLUMINA	auto	case-only diff (matches PLATFORM option ILLUMINA), resolves on reprocess	
sequencingInstrument	Gridion	56	ebola-zaire	GridION	auto	case-only diff, resolves on reprocess	
sequencingInstrument	illumina	7	andv	ILLUMINA	auto	case-only diff, resolves on reprocess	
sequencingInstrument	Illumina 	1	mpox	ILLUMINA	auto	case+trailing-space diff, resolves on reprocess	
sequencingInstrument	Illumina NextSeq 1000 [GENEPIO:0004432]	521	mpox,rsv-a,rsv-b	NextSeq 1000	high	strip bracketed ontology id suffix	
sequencingInstrument	Oxford Nanopore GridION Mk1 [OBI:0002751]	339	rsv-a,rsv-b	GridION	high	strip ontology id; no Mk1-specific option exists	Chip: GridION Mk1
sequencingInstrument	Illumina MiniSeq [OBI:0003114]	125	rsv-a,rsv-b	Illumina MiniSeq	high	strip ontology id suffix	
sequencingInstrument	unknown	496	dengue	unspecified	high	maps to ENA 'unspecified' placeholder	
sequencingInstrument	Nanopore MinION	485	dengue	MinION	high	drop vendor prefix, exact model match	
sequencingInstrument	Illumina NextSeq 550	141	mpox	NextSeq 550	high	drop vendor prefix, exact model match	
sequencingInstrument	NextSeq550	119	rsv-a,rsv-b	NextSeq 550	high	missing space	
sequencingInstrument	Illumina NextSeq 1000	55	dengue,hmpv,mpox,rsv-a,rsv-b,west-nile	NextSeq 1000	high	drop vendor prefix, exact model match	
sequencingInstrument	Miniseq	46	mpox	Illumina MiniSeq	high	case+missing vendor prefix	
sequencingInstrument	Oxford Nanopore GridION Mk1	40	mpox	GridION	high	no Mk1-specific option exists, drop suffix	Chip: GridION Mk1
sequencingInstrument	MinION Mk1c	27	dengue	MinION	high	no Mk1c-specific option exists, drop suffix	Chip: MinION Mk1C
sequencingInstrument	Oxford Nanopore MinION	22	mpox,rsv-a,rsv-b	MinION	high	drop vendor prefix, exact model match	
sequencingInstrument	Illuminna_Nextseq2000	18	ebola-bdbv	NextSeq 2000	high	typo + missing space	
sequencingInstrument	Gridion/Nanopore	87	ebola-bdbv	GridION	high	drop vendor suffix	
sequencingInstrument	Gridion/nanopore	15	ebola-bdbv,ebola-zaire	GridION	high	drop vendor suffix	
