ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_000SZ64	PP_000SZ64.1	mpox	GN049036	-:PAT	Sequence 30 from Patent EP2028270
PP_000SZ9Y	PP_000SZ9Y.1	mpox	CS064584	-:PAT	Sequence 11 from Patent WO2005030991
PP_000SZDQ	PP_000SZDQ.1	mpox	CS106430	-:PAT	Sequence 30 from Patent WO2005047458
PP_000T136	PP_000T136.1	mpox	FV537349	-:PAT	Modified Microbial Nucleic Acid
PP_000T144	PP_000T144.1	mpox	FV537350	-:PAT	Modified Microbial Nucleic Acid
PP_000T1K7	PP_000T1K7.1	mpox	JB071962	-:PAT	Sequence 2 from Patent EP2496699
PP_003RNR9	PP_003RNR9.1	mpox	FV537351	-:PAT	Modified Microbial Nucleic Acid
PP_003RNS7	PP_003RNS7.1	mpox	FV537352	-:PAT	Modified Microbial Nucleic Acid
PP_004CHA3	PP_004CHA3.1	mpox	PD223145	-:PAT	JP 2022513602-A/298: CRISPR SYSTEM BASED DROPLET DIAGNOSTIC SYSTEMS AND METHODS
PP_00719HF	PP_00719HF.1	mpox	QP053878	-:PAT	Patent application sequence for JP 2025046038-A/1
