ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_000RH5Q	PP_000RH5Q.2	cchf	FV537246	L:PAT	Modified Microbial Nucleic Acid
PP_000RH6N	PP_000RH6N.2	cchf	FV537247	L:PAT	Modified Microbial Nucleic Acid
PP_000RH7L	PP_000RH7L.2	cchf	JC606538	M:PAT	Sequence 1 from Patent WO2014132013
PP_000RH8J	PP_000RH8J.2	cchf	JC606539	M:PAT	Sequence 2 from Patent WO2014132013
PP_000RH9G	PP_000RH9G.2	cchf	JC606540	M:PAT	Sequence 3 from Patent WO2014132013
PP_000RHKV	PP_000RHKV.2	cchf	MQ039150	S:PAT	Sequence 6 from Patent EP3814506
PP_000RHLT	PP_000RHLT.2	cchf	BD294628	S:PAT	A monoclonal antibody recognizing Crimean-Congo hemorrhagic fever virus
PP_000RHMR	PP_000RHMR.2	cchf	DL138932	S:PAT	COMPOSITIONS FOR USE IN IDENTIFICATION OF VIRAL HEMORRHAGIC FEVER VIRUSES
PP_0047VDV	PP_0047VDV.1	cchf	FV537242	S:PAT	Modified Microbial Nucleic Acid
PP_0047VET	PP_0047VET.1	cchf	FV537243	S:PAT	Modified Microbial Nucleic Acid
PP_0047VFR	PP_0047VFR.1	cchf	FV537244	S:PAT	Modified Microbial Nucleic Acid
PP_0047VGP	PP_0047VGP.1	cchf	FV537245	S:PAT	Modified Microbial Nucleic Acid
PP_0047VHL	PP_0047VHL.1	cchf	FV537248	L:PAT	Modified Microbial Nucleic Acid
PP_0047VJJ	PP_0047VJJ.1	cchf	FV537249	L:PAT	Modified Microbial Nucleic Acid
PP_0047VKG	PP_0047VKG.1	cchf	FV537250	M:PAT	Modified Microbial Nucleic Acid
PP_0047VLE	PP_0047VLE.1	cchf	FV537251	M:PAT	Modified Microbial Nucleic Acid
PP_0047VMC	PP_0047VMC.1	cchf	FV537252	M:PAT	Modified Microbial Nucleic Acid
PP_0047VNA	PP_0047VNA.1	cchf	FV537253	M:PAT	Modified Microbial Nucleic Acid
