ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_0034954	PP_0034954.1	measles	DM156215	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0034EM0	PP_0034EM0.1	measles	DM156216	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0034EVJ	PP_0034EVJ.1	measles	DM156217	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0034G07	PP_0034G07.1	measles	DM156218	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0034G8R	PP_0034G8R.1	measles	DM156219	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_00351TZ	PP_00351TZ.1	measles	DM156220	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0035FH5	PP_0035FH5.1	measles	DM156221	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0035FRP	PP_0035FRP.1	measles	DM156222	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0035HMV	PP_0035HMV.1	measles	BD094511	-:PAT	WO 2001038537-A/2: Method for producing morbillivirus cell fusion ability mutant
PP_0035NRG	PP_0035NRG.1	measles	AX456136	-:PAT	Sequence 7 from Patent WO0200694
PP_0035PPK	PP_0035PPK.1	measles	DM156214	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_00365M5	PP_00365M5.1	measles	BD094510	-:PAT	WO 2001038537-A/1: Method for producing morbillivirus cell fusion ability mutant
PP_00365N3	PP_00365N3.1	measles	BD094512	-:PAT	WO 2001059125-A/1: Method for producing morbillivirus temperature sensitive mutant
PP_00365P1	PP_00365P1.1	measles	BD094513	-:PAT	WO 2001059125-A/2: Method for producing morbillivirus temperature sensitive mutant
PP_00365QZ	PP_00365QZ.1	measles	BD137590	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365RX	PP_00365RX.1	measles	BD137591	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365SV	PP_00365SV.1	measles	BD137592	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365TT	PP_00365TT.1	measles	BD137593	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365UR	PP_00365UR.1	measles	BD137594	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365VP	PP_00365VP.1	measles	BD137595	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365WM	PP_00365WM.1	measles	BD137596	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_00365XK	PP_00365XK.1	measles	BD137597	-:PAT	Mutation causing attenuation of measles virus or human respiratory syncytium virus subgroup B
PP_003679U	PP_003679U.1	measles	BD285527	-:PAT	An anti-paramyxovirus agent
PP_00367DL	PP_00367DL.2	measles	CS406455	-:PAT	Sequence 25 from Patent WO2006042156
PP_00367EJ	PP_00367EJ.2	measles	CS406458	-:PAT	Sequence 28 from Patent WO2006042156
PP_0036D14	PP_0036D14.1	measles	DD220205	-:PAT	POTENT ONCOLYTIC HERPES SIMPLEX VIRUS FOR CANCER THERAPY
PP_0036D22	PP_0036D22.1	measles	DD461937	-:PAT	Recombinant mononegavirus vectors having segmented genomes
PP_0036D30	PP_0036D30.1	measles	DI006056	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036D8Q	PP_0036D8Q.1	measles	DI010567	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036DJ3	PP_0036DJ3.1	measles	DI021106	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036DXB	PP_0036DXB.1	measles	DI045579	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036E21	PP_0036E21.1	measles	DI052604	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036E7R	PP_0036E7R.1	measles	DI059890	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036E8P	PP_0036E8P.1	measles	DI062293	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036EK0	PP_0036EK0.1	measles	DI083540	-:PAT	Mutations Responsible for Attenuation in Measles Virusor Human Respiratory Syncytial Virus Subgroup B
PP_0036ENU	PP_0036ENU.1	measles	DI193475	-:PAT	KR 1020090103922-A/12: CELLS AND METHODOLOGY TO GENERATE NON-SEGMENTED NEGATIVE-STRAND RNA VIRUSES
PP_0036EPS	PP_0036EPS.1	measles	DI193476	-:PAT	KR 1020090103922-A/14: CELLS AND METHODOLOGY TO GENERATE NON-SEGMENTED NEGATIVE-STRAND RNA VIRUSES
PP_0036EQQ	PP_0036EQQ.1	measles	DI193477	-:PAT	KR 1020090103922-A/16: CELLS AND METHODOLOGY TO GENERATE NON-SEGMENTED NEGATIVE-STRAND RNA VIRUSES
PP_0036EWC	PP_0036EWC.1	measles	DL462855	-:PAT	Anti-cancer agent containing of diRNA deribed from Measles virus
PP_0036EXA	PP_0036EXA.1	measles	DM091221	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_0036EY8	PP_0036EY8.1	measles	DM091222	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_0036EZ6	PP_0036EZ6.1	measles	DM143444	-:PAT	Use of Mutant Herpes Simplex Virus-2 for Cancer Therapy
PP_0036F04	PP_0036F04.1	measles	DM156212	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0036F12	PP_0036F12.1	measles	DM156213	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0036F20	PP_0036F20.1	measles	DM156223	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_0036F3Y	PP_0036F3Y.1	measles	DM459216	-:PAT	DIFFERENTIAL AMPLIFICATION OF MUTANT NUCLEIC ACIDS BY PCR IN A MIXTURE OF NUCLEIC ACIDS
PP_0036SLL	PP_0036SLL.1	measles	GM677260	-:PAT	Sequence 12 from Patent WO2008078198
PP_0036SU4	PP_0036SU4.1	measles	GM677262	-:PAT	Sequence 14 from Patent WO2008078198
PP_0036T2N	PP_0036T2N.1	measles	GM677264	-:PAT	Sequence 16 from Patent WO2008078198
PP_0036US6	PP_0036US6.1	measles	GM828153	-:PAT	Sequence 27 from Patent WO2007091125
PP_0036WDX	PP_0036WDX.1	measles	GN093603	-:PAT	Sequence 29 from Patent EP2042186
PP_0036YNA	PP_0036YNA.1	measles	E04903	-:PAT	DNA coding measles vaccine peptide
PP_0036YP8	PP_0036YP8.1	measles	E07705	-:PAT	cDNA encoding nuclear protein of subacute sclerosing panencephalitis virus
PP_00375GE	PP_00375GE.1	measles	HW319609	-:PAT	JP 2013176375-A/20: Virus-Like Particles as Vaccines for Paramyxovirus
PP_00378AP	PP_00378AP.1	measles	HW319610	-:PAT	JP 2013176375-A/21: Virus-Like Particles as Vaccines for Paramyxovirus
PP_00378J6	PP_00378J6.1	measles	HW319611	-:PAT	JP 2013176375-A/22: Virus-Like Particles as Vaccines for Paramyxovirus
PP_00378SQ	PP_00378SQ.1	measles	HW319612	-:PAT	JP 2013176375-A/23: Virus-Like Particles as Vaccines for Paramyxovirus
PP_0037908	PP_0037908.1	measles	HW319613	-:PAT	JP 2013176375-A/24: Virus-Like Particles as Vaccines for Paramyxovirus
