ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_001ZS9Q	PP_001ZS9Q.1	rsv-b	HW319616	-:PAT	JP 2013176375-A/27: Virus-Like Particles as Vaccines for Paramyxovirus
PP_001ZSAN	PP_001ZSAN.1	rsv-b	DM091210	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_001ZSBL	PP_001ZSBL.1	rsv-b	DM156225	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_001ZSCJ	PP_001ZSCJ.1	rsv-b	DM156226	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
PP_001ZTCH	PP_001ZTCH.1	rsv-b	JD568328	-:PAT	Sequence 34 from Patent WO2015013551
PP_0020QNX	PP_0020QNX.1	rsv-b	DI482054	-:PAT	KR 1020140122258-A/49: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0020QWF	PP_0020QWF.1	rsv-b	DI482055	-:PAT	KR 1020140122258-A/51: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0020RED	PP_0020RED.1	rsv-b	CQ840448	-:PAT	Sequence 133 from Patent WO2004057021
PP_0020RL0	PP_0020RL0.1	rsv-b	DI482052	-:PAT	KR 1020140122258-A/45: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0020RMY	PP_0020RMY.1	rsv-b	DI482053	-:PAT	KR 1020140122258-A/47: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0021HBR	PP_0021HBR.1	rsv-b	HB384533	-:PAT	Sequence 11433 from Patent WO2006110688
PP_0021T8M	PP_0021T8M.1	rsv-b	HW319615	-:PAT	JP 2013176375-A/26: Virus-Like Particles as Vaccines for Paramyxovirus
PP_0025VRA	PP_0025VRA.1	rsv-b	LF848105	-:PAT	JP 2016527253-A/2: CONFORMATIONALLY STABILIZED RSV PRE-FUSION F PROTEINS
PP_002L1JM	PP_002L1JM.1	rsv-b	MP212283	-:PAT	Sequence 45 from Patent EP3498304
PP_002L1KK	PP_002L1KK.1	rsv-b	MP212285	-:PAT	Sequence 47 from Patent EP3498304
PP_002L1LH	PP_002L1LH.1	rsv-b	MP212287	-:PAT	Sequence 49 from Patent EP3498304
