ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_005LGH5	PP_005LGH5.1	yellow-fever	CQ753912	-:PAT	Sequence 17 from Patent WO2004001051
PP_005LGJ3	PP_005LGJ3.1	yellow-fever	CQ753913	-:PAT	Sequence 18 from Patent WO2004001051
PP_005LGK1	PP_005LGK1.1	yellow-fever	CQ754933	-:PAT	Sequence 17 from Patent EP1375670
PP_005LGLZ	PP_005LGLZ.1	yellow-fever	CQ754934	-:PAT	Sequence 18 from Patent EP1375670
PP_005LGMX	PP_005LGMX.1	yellow-fever	CQ867053	-:PAT	Sequence 8 from Patent EP1454988
PP_005LGNV	PP_005LGNV.1	yellow-fever	CQ871192	-:PAT	Sequence 8 from Patent WO2004078986
PP_005LGRP	PP_005LGRP.1	yellow-fever	CS805341	-:PAT	Sequence 7 from Patent WO2007093472
PP_005LGTK	PP_005LGTK.1	yellow-fever	DI100319	-:PAT	RECOMBINANT MEASLES VIRUSES EXPRESSING EPITOPES OF ANTIGENS OFRNA VIRUSES - USE FOR THE PREPARATION OF VACCINE COMPOSITIONS
PP_005LGUH	PP_005LGUH.1	yellow-fever	DI101079	-:PAT	RECOMBINANT MEASLES VIRUSES EXPRESSING EPITOPES OF ANTIGENS OFRNA VIRUSES - USE FOR THE PREPARATION OF VACCINE COMPOSITIONS
PP_005LGWD	PP_005LGWD.1	yellow-fever	DI450452	-:PAT	KR 1020140113937-A/8: MULTIPLEX IMMUNO SCREENING ASSAY
PP_005LHXA	PP_005LHXA.1	yellow-fever	FU267585	-:PAT	Chimeric Dengue viruses
PP_005LHY8	PP_005LHY8.1	yellow-fever	FV537409	-:PAT	Modified Microbial Nucleic Acid
PP_005LHZ6	PP_005LHZ6.1	yellow-fever	FV537410	-:PAT	Modified Microbial Nucleic Acid
PP_005LJ04	PP_005LJ04.1	yellow-fever	FV537411	-:PAT	Modified Microbial Nucleic Acid
PP_005LJ12	PP_005LJ12.1	yellow-fever	FV537412	-:PAT	Modified Microbial Nucleic Acid
PP_005LLAG	PP_005LLAG.1	yellow-fever	HW250534	-:PAT	WO 2013080307-A/64: Primer set for amplifying mosquito-borne virus, assay kit for detecting mosquito-borne virus, and detection method using them
