run_accession	accession	accessionVersion	authors	authorAffiliations	submitter	groupName	geoLocCountry	geoLocAdmin1	sampleCollectionDate	releasedDate	ncbiVirusName	sequencingInstrument	sequencingAssayType	sequencingProtocol	sequencedByOrganization	bioprojectAccession	biosampleAccession	library_source	library_strategy	library_selection	instrument_platform	instrument_model	read_count	base_count	first_public	insdcRawReadsAccession_raw
DRR618732	PP_000T3TP	PP_000T3TP.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-01-30	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834601	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1325371	380750326	2024-11-30	DRR618732
DRR618733	PP_000T3UM	PP_000T3UM.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-01-30	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834602	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1472012	416096526	2024-11-30	DRR618733
DRR618734	PP_000T3VK	PP_000T3VK.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-02-27	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834603	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	2395581	698523905	2024-11-30	DRR618734
DRR618735	PP_000T3WH	PP_000T3WH.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-02-27	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834604	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1673990	482660428	2024-11-30	DRR618735
DRR618736	PP_000T3XF	PP_000T3XF.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-02-27	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834605	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	4079159	1174434715	2024-11-30	DRR618736
DRR618737	PP_000T3YD	PP_000T3YD.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-03-13	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834606	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1838385	529080094	2024-11-30	DRR618737
DRR618738	PP_000T3ZB	PP_000T3ZB.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2022-07-25	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834607	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1704179	487773056	2024-11-30	DRR618738
DRR618739	PP_000T409	PP_000T409.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2022-07-25	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834608	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	2389680	690951919	2024-11-30	DRR618739
DRR618740	PP_000T417	PP_000T417.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-03-27	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834609	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	2025074	584294772	2024-11-30	DRR618740
DRR618741	PP_000T425	PP_000T425.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-04-03	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834610	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	2589401	747083966	2024-11-30	DRR618741
DRR618742	PP_000T433	PP_000T433.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-04-03	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834611	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1839261	530569808	2024-11-30	DRR618742
DRR618743	PP_000T441	PP_000T441.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-05-15	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834612	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1638172	477687663	2024-11-30	DRR618743
DRR618744	PP_000T45Z	PP_000T45Z.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-05-15	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834613	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	1334461	382544515	2024-11-30	DRR618744
DRR618745	PP_000T46X	PP_000T46X.4		Shinjuku, Tokyo 162-8640	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	Japan		2023-05-15	2025-12-26	Monkeypox virus					PRJDB16992	SAMD00834614	METAGENOMIC	Targeted-Capture	Hybrid Selection	ILLUMINA	Illumina MiSeq	2904422	787020528	2024-11-30	DRR618745
SRR10017689	PP_000T5K3	PP_000T5K3.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T5RR	PP_000T5RR.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T5YB	PP_000T5YB.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T623	PP_000T623.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T631	PP_000T631.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T64Z	PP_000T64Z.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T65X	PP_000T65X.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6CH	PP_000T6CH.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
