ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_006VQGF	PP_006VQGF.1	andv	DL138931	S:PAT	COMPOSITIONS FOR USE IN IDENTIFICATION OF VIRAL HEMORRHAGIC FEVER VIRUSES
PP_006VQN2	PP_006VQN2.1	andv	DL139691	M:PAT	METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VQYG	PP_006VQYG.1	andv	DI161196	M:PAT	METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VQZE	PP_006VQZE.1	andv	DI162424	M:PAT	METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VR0C	PP_006VR0C.1	andv	DI163829	S:PAT	METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VR1A	PP_006VR1A.1	andv	DL139697	M:PAT	METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VR28	PP_006VR28.1	andv	DL139703	S:PAT	METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VT18	PP_006VT18.1	andv	FV536442	L:PAT	Modified Microbial Nucleic Acid
PP_006VVCJ	PP_006VVCJ.1	andv	FV536443	L:PAT	Modified Microbial Nucleic Acid
PP_006VVDG	PP_006VVDG.1	andv	FV536446	M:PAT	Modified Microbial Nucleic Acid
PP_006VVEE	PP_006VVEE.1	andv	FV536447	M:PAT	Modified Microbial Nucleic Acid
PP_006VVFC	PP_006VVFC.1	andv	FV536450	S:PAT	Modified Microbial Nucleic Acid
PP_006VVGA	PP_006VVGA.1	andv	FV536451	S:PAT	Modified Microbial Nucleic Acid
PP_006VVUK	PP_006VVUK.1	andv	HV984408	M:PAT	JP 2011191322-A/6: METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VVVH	PP_006VVVH.1	andv	HV984414	M:PAT	JP 2011191322-A/12: METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006VVWF	PP_006VVWF.1	andv	HV984420	S:PAT	JP 2011191322-A/18: METHODS AND REAGENTS FOR DIAGNOSING HANTAVIRUS INFECTION
PP_006W1PM	PP_006W1PM.1	andv	PG081425	S:PAT	JP 2022547564-A/62: NOVEL CLASS 2 TYPE II AND TYPE V CRISPR-CAS RNA-GUIDED ENDONUCLEASES
