ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_004DCB4	PP_004DCB4.1	marburg	AX717721	-:PAT	Sequence 9 from Patent WO02079239
PP_004DCC2	PP_004DCC2.2	marburg	AX717725	-:PAT	Sequence 13 from Patent WO02079239
PP_004DCGU	PP_004DCGU.1	marburg	CS402436	-:PAT	Sequence 5 from Patent WO2006037038
PP_004DCHR	PP_004DCHR.1	marburg	CS402437	-:PAT	Sequence 6 from Patent WO2006037038
PP_004DDMG	PP_004DDMG.1	marburg	PL092541	-:PAT	KR 1020240003762-A/19: A method of screening regulatory elements for enhancing RNA stability or mRNA translation, new regulatory elements according to the method, and use thereof
PP_004DGZP	PP_004DGZP.1	marburg	HC069229	-:PAT	Sequence 20 from Patent WO2009128867
PP_004DH5B	PP_004DH5B.1	marburg	HC069231	-:PAT	Sequence 22 from Patent WO2009128867
PP_004DHBZ	PP_004DHBZ.1	marburg	HC069237	-:PAT	Sequence 28 from Patent WO2009128867
PP_004DHHL	PP_004DHHL.1	marburg	HC874669	-:PAT	Sequence 15 from Patent WO2010053573
PP_004DHP8	PP_004DHP8.1	marburg	HC874671	-:PAT	Sequence 17 from Patent WO2010053573
PP_004DHVW	PP_004DHVW.1	marburg	HC874673	-:PAT	Sequence 19 from Patent WO2010053573
PP_004DJLD	PP_004DJLD.1	marburg	HC069227	-:PAT	Sequence 18 from Patent WO2009128867
PP_004DP39	PP_004DP39.1	marburg	PL092167	-:PAT	KR 1020240003760-A/19: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof
PP_004DP47	PP_004DP47.1	marburg	PL092354	-:PAT	KR 1020240003761-A/19: A method of screening regulatory elements for enhancing mRNA translation, new regulatory elements according to the method, and use thereof
PP_004JYE1	PP_004JYE1.1	marburg	PU895860	-:PAT	Sequence 9 from patent US 12247214 B2
PP_00717KD	PP_00717KD.1	marburg	QP746522	-:PAT	JP 2025525390-A/1940: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
PP_00717LB	PP_00717LB.1	marburg	QP746595	-:PAT	JP 2025525390-A/2013: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
PP_00717M9	PP_00717M9.1	marburg	QP746634	-:PAT	JP 2025525390-A/2052: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
PP_00717N7	PP_00717N7.1	marburg	QP746959	-:PAT	JP 2025525390-A/2377: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
PP_00717P5	PP_00717P5.1	marburg	QP747099	-:PAT	JP 2025525390-A/2517: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
PP_00717Q3	PP_00717Q3.1	marburg	QP747472	-:PAT	JP 2025525390-A/2890: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
