ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_0052WW2	PP_0052WW2.1	dengue	A13666	-:PAT	PUO-218 cDNA
PP_0052WYY	PP_0052WYY.1	dengue	A13668	-:PAT	New Guinea C cDNA
PP_0052WZW	PP_0052WZW.1	dengue	A75711	-:PAT	Sequence 1 from Patent WO9322440
PP_0052X0U	PP_0052X0U.1	dengue	A91810	-:PAT	Sequence 5 from Patent WO9823754
PP_0052X1S	PP_0052X1S.1	dengue	A91814	-:PAT	Sequence 9 from Patent WO9823754
PP_0052X2Q	PP_0052X2Q.1	dengue	A91816	-:PAT	Sequence 11 from Patent WO9823754
PP_0053VHT	PP_0053VHT.1	dengue	AX058264	-:PAT	Sequence 1 from Patent WO0075665
PP_00540KG	PP_00540KG.1	dengue	AX775700	-:PAT	Sequence 5 from Patent WO03048184
PP_00540LE	PP_00540LE.1	dengue	AX775702	-:PAT	Sequence 7 from Patent WO03048184
PP_00540MC	PP_00540MC.1	dengue	AX775704	-:PAT	Sequence 9 from Patent WO03048184
PP_0054CUL	PP_0054CUL.1	dengue	CQ874693	-:PAT	Sequence 4 from Patent WO2004076619
PP_0054JMU	PP_0054JMU.1	dengue	CS069976	-:PAT	Sequence 30 from Patent WO2005030800
PP_0054JVC	PP_0054JVC.1	dengue	CS069977	-:PAT	Sequence 31 from Patent WO2005030800
PP_0054KBE	PP_0054KBE.1	dengue	CS477263	-:PAT	Sequence 1 from Patent WO2006134433
PP_0054KKX	PP_0054KKX.1	dengue	CS477264	-:PAT	Sequence 2 from Patent WO2006134433
PP_0054PD6	PP_0054PD6.1	dengue	CS477265	-:PAT	Sequence 3 from Patent WO2006134433
PP_0054PMP	PP_0054PMP.1	dengue	CS477302	-:PAT	Sequence 40 from Patent WO2006134433
PP_0054PV7	PP_0054PV7.1	dengue	CS477304	-:PAT	Sequence 42 from Patent WO2006134433
PP_0054W6D	PP_0054W6D.1	dengue	CS477305	-:PAT	Sequence 43 from Patent WO2006134433
PP_0054WEX	PP_0054WEX.1	dengue	CS477306	-:PAT	Sequence 44 from Patent WO2006134433
PP_0054ZYR	PP_0054ZYR.1	dengue	CQ871190	-:PAT	Sequence 6 from Patent WO2004078986
PP_0055067	PP_0055067.1	dengue	CQ867051	-:PAT	Sequence 6 from Patent EP1454988
PP_0055075	PP_0055075.1	dengue	CS479165	-:PAT	Sequence 1 from Patent WO2006134443
PP_0055083	PP_0055083.1	dengue	CS479167	-:PAT	Sequence 3 from Patent WO2006134443
PP_0055091	PP_0055091.1	dengue	CS479202	-:PAT	Sequence 38 from Patent WO2006134443
PP_00550AZ	PP_00550AZ.1	dengue	CS479203	-:PAT	Sequence 39 from Patent WO2006134443
PP_00550BX	PP_00550BX.1	dengue	CS479204	-:PAT	Sequence 40 from Patent WO2006134443
PP_00550CV	PP_00550CV.1	dengue	CS479205	-:PAT	Sequence 41 from Patent WO2006134443
PP_00550DT	PP_00550DT.1	dengue	CS479206	-:PAT	Sequence 42 from Patent WO2006134443
PP_00550ER	PP_00550ER.1	dengue	CS584363	-:PAT	Sequence 7 from Patent WO2007034507
PP_00550GM	PP_00550GM.1	dengue	CS584365	-:PAT	Sequence 9 from Patent WO2007034507
PP_00550LC	PP_00550LC.1	dengue	CS585608	-:PAT	Sequence 3 from Patent WO2007031034
PP_00550MA	PP_00550MA.1	dengue	CS585609	-:PAT	Sequence 4 from Patent WO2007031034
PP_00550N8	PP_00550N8.1	dengue	CS585612	-:PAT	Sequence 7 from Patent WO2007031034
PP_00550R2	PP_00550R2.1	dengue	CS585615	-:PAT	Sequence 10 from Patent WO2007031034
PP_00550S0	PP_00550S0.1	dengue	CS585617	-:PAT	Sequence 12 from Patent WO2007031034
PP_00550VU	PP_00550VU.1	dengue	CS585620	-:PAT	Sequence 15 from Patent WO2007031034
PP_00550WS	PP_00550WS.1	dengue	CS673237	-:PAT	Sequence 2 from Patent WO2007059715
PP_00550XQ	PP_00550XQ.1	dengue	CS805348	-:PAT	Sequence 14 from Patent WO2007093472
PP_00550ZL	PP_00550ZL.1	dengue	CS673245	-:PAT	Sequence 10 from Patent WO2007059715
PP_005510J	PP_005510J.1	dengue	CS805342	-:PAT	Sequence 8 from Patent WO2007093472
PP_005511G	PP_005511G.1	dengue	CS805343	-:PAT	Sequence 9 from Patent WO2007093472
PP_005512E	PP_005512E.1	dengue	CS805344	-:PAT	Sequence 10 from Patent WO2007093472
PP_005513C	PP_005513C.1	dengue	CS805345	-:PAT	Sequence 11 from Patent WO2007093472
PP_005514A	PP_005514A.1	dengue	CS805346	-:PAT	Sequence 12 from Patent WO2007093472
PP_0055158	PP_0055158.1	dengue	CS805347	-:PAT	Sequence 13 from Patent WO2007093472
PP_005522D	PP_005522D.1	dengue	DD165112	-:PAT	Flavivirus NS1 Subunit Vaccine
PP_005523B	PP_005523B.1	dengue	DD165113	-:PAT	Flavivirus NS1 Subunit Vaccine
PP_0055249	PP_0055249.1	dengue	DD165114	-:PAT	Flavivirus NS1 Subunit Vaccine
PP_0055257	PP_0055257.1	dengue	DI128400	-:PAT	Flavivirus NS1 Subunit Vaccine
PP_0055265	PP_0055265.1	dengue	DI128958	-:PAT	Flavivirus NS1 Subunit Vaccine
PP_0055273	PP_0055273.1	dengue	DI133766	-:PAT	Flavivirus NS1 Subunit Vaccine
PP_0055281	PP_0055281.1	dengue	DI191091	-:PAT	KR 1020090027759-A/1: METHOD OF IMMUNISATION AGAINST THE FOUR SEROTYPES OF DENGUE
PP_005529Z	PP_005529Z.1	dengue	DI191092	-:PAT	KR 1020090027759-A/2: METHOD OF IMMUNISATION AGAINST THE FOUR SEROTYPES OF DENGUE
PP_00552AX	PP_00552AX.1	dengue	DI195805	-:PAT	KR 1020100019423-A/33: ATTENUATED VIRUSES USEFUL FOR VACCINES
