ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_0016LJY	PP_0016LJY.1	rsv-a	DI482044	-:PAT	KR 1020140122258-A/29: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0016WC1	PP_0016WC1.1	rsv-a	DI482036	-:PAT	KR 1020140122258-A/19: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0016WU2	PP_0016WU2.1	rsv-a	DI482042	-:PAT	KR 1020140122258-A/26: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0016X0Q	PP_0016X0Q.1	rsv-a	AX047073	-:PAT	Sequence 1 from Patent WO0068392
PP_0016X1N	PP_0016X1N.1	rsv-a	AX047075	-:PAT	Sequence 3 from Patent WO0068392
PP_0017A7V	PP_0017A7V.1	rsv-a	DI482043	-:PAT	KR 1020140122258-A/27: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017ACK	PP_0017ACK.1	rsv-a	CS406461	-:PAT	Sequence 31 from Patent WO2006042156
PP_0017AFD	PP_0017AFD.1	rsv-a	DI482023	-:PAT	KR 1020140122258-A/6: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AGB	PP_0017AGB.1	rsv-a	DI482045	-:PAT	KR 1020140122258-A/31: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AH8	PP_0017AH8.1	rsv-a	DI482046	-:PAT	KR 1020140122258-A/33: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AJ6	PP_0017AJ6.1	rsv-a	DI482047	-:PAT	KR 1020140122258-A/35: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AK4	PP_0017AK4.1	rsv-a	DI482048	-:PAT	KR 1020140122258-A/37: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AL2	PP_0017AL2.1	rsv-a	DI482049	-:PAT	KR 1020140122258-A/39: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AM0	PP_0017AM0.1	rsv-a	DI482050	-:PAT	KR 1020140122258-A/41: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017ANY	PP_0017ANY.1	rsv-a	DI482051	-:PAT	KR 1020140122258-A/43: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017APW	PP_0017APW.1	rsv-a	DI482056	-:PAT	KR 1020140122258-A/53: COMBINED ANTIGEN AND DNA VACCINE FOR PREVENTING AND TREATING RSV INFECTION
PP_0017AUL	PP_0017AUL.1	rsv-a	DM091208	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_0017AVJ	PP_0017AVJ.1	rsv-a	DM091209	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_0017AWG	PP_0017AWG.1	rsv-a	DM156227	-:PAT	Virus-Like Particles as Vaccines for Paramyxovirus
