ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_000LAAX	PP_000LAAX.3	ebola-zaire	DD220209	-:PAT	POTENT ONCOLYTIC HERPES SIMPLEX VIRUS FOR CANCER THERAPY
PP_000LB1E	PP_000LB1E.3	ebola-zaire	AX092102	-:PAT	Sequence 1 from Patent WO0116183
PP_000LB2C	PP_000LB2C.3	ebola-zaire	AX717723	-:PAT	Sequence 11 from Patent WO02079239
PP_000LBDQ	PP_000LBDQ.3	ebola-zaire	CS402433	-:PAT	Sequence 2 from Patent WO2006037038
PP_000LBXM	PP_000LBXM.3	ebola-zaire	DL475798	-:PAT	OPTIMIZED VACCINES TO PROVIDE PROTECTION AGAINST EBOLA AND OTHER VIRUSES
PP_000LBYK	PP_000LBYK.3	ebola-zaire	DL475801	-:PAT	OPTIMIZED VACCINES TO PROVIDE PROTECTION AGAINST EBOLA AND OTHER VIRUSES
PP_000LBZH	PP_000LBZH.3	ebola-zaire	DM143448	-:PAT	Use of Mutant Herpes Simplex Virus-2 for Cancer Therapy
PP_000LCCR	PP_000LCCR.3	ebola-zaire	HC069217	-:PAT	Sequence 7 from Patent WO2009128867
PP_000LD38	PP_000LD38.3	ebola-zaire	HC069221	-:PAT	Sequence 12 from Patent WO2009128867
PP_000LD46	PP_000LD46.3	ebola-zaire	HC069223	-:PAT	Sequence 14 from Patent WO2009128867
PP_000LD54	PP_000LD54.3	ebola-zaire	HC069235	-:PAT	Sequence 26 from Patent WO2009128867
PP_000LD62	PP_000LD62.3	ebola-zaire	HC069239	-:PAT	Sequence 30 from Patent WO2009128867
PP_000LD70	PP_000LD70.3	ebola-zaire	HC069241	-:PAT	Sequence 32 from Patent WO2009128867
PP_000LD8Y	PP_000LD8Y.3	ebola-zaire	HC874661	-:PAT	Sequence 7 from Patent WO2010053573
PP_000LD9W	PP_000LD9W.3	ebola-zaire	HC874665	-:PAT	Sequence 11 from Patent WO2010053573
PP_000LDAU	PP_000LDAU.3	ebola-zaire	HC874667	-:PAT	Sequence 13 from Patent WO2010053573
PP_000LDBS	PP_000LDBS.3	ebola-zaire	HC874677	-:PAT	Sequence 23 from Patent WO2010053573
PP_000LDCQ	PP_000LDCQ.3	ebola-zaire	HC874681	-:PAT	Sequence 27 from Patent WO2010053573
PP_000LDDN	PP_000LDDN.3	ebola-zaire	HC874683	-:PAT	Sequence 29 from Patent WO2010053573
PP_000LDEL	PP_000LDEL.3	ebola-zaire	HC918460	-:PAT	Sequence 10 from Patent WO2010057650
PP_000LDFJ	PP_000LDFJ.3	ebola-zaire	HC918463	-:PAT	Sequence 13 from Patent WO2010057650
PP_000LDK9	PP_000LDK9.3	ebola-zaire	HV753274	-:PAT	JP 2012509073-A/5: Vector comprising multiple homologous nucleotide sequences
PP_000LDL7	PP_000LDL7.3	ebola-zaire	HV753277	-:PAT	JP 2012509073-A/8: Vector comprising multiple homologous nucleotide sequences
PP_000LDM5	PP_000LDM5.3	ebola-zaire	HZ164397	-:PAT	JP 2015128443-A/5: Vector comprising multiple homologous nucleotide sequences
PP_000LDN3	PP_000LDN3.3	ebola-zaire	HZ164400	-:PAT	JP 2015128443-A/8: Vector comprising multiple homologous nucleotide sequences
PP_000LDP1	PP_000LDP1.3	ebola-zaire	HZ885821	-:PAT	WO 2016057749-A/1: METHODS AND DEVICES FOR REAL-TIME DIAGNOSTIC TESTING (RDT) FOR EBOLA AND OTHER INFECTIOUS DISEASES
PP_000LDQZ	PP_000LDQZ.3	ebola-zaire	HZ885822	-:PAT	WO 2016057749-A/2: METHODS AND DEVICES FOR REAL-TIME DIAGNOSTIC TESTING (RDT) FOR EBOLA AND OTHER INFECTIOUS DISEASES
PP_000LDRX	PP_000LDRX.3	ebola-zaire	HZ885823	-:PAT	WO 2016057749-A/3: METHODS AND DEVICES FOR REAL-TIME DIAGNOSTIC TESTING (RDT) FOR EBOLA AND OTHER INFECTIOUS DISEASES
PP_000LDTT	PP_000LDTT.3	ebola-zaire	JA489037	-:PAT	Sequence 20 from Patent EP2350270
PP_000M1MF	PP_000M1MF.3	ebola-zaire	LQ278386	-:PAT	Sequence 218 from Patent WO2016069853
PP_000M675	PP_000M675.3	ebola-zaire	LQ278390	-:PAT	Sequence 222 from Patent WO2016069853
PP_000N0EV	PP_000N0EV.3	ebola-zaire	LQ278394	-:PAT	Sequence 226 from Patent WO2016069853
PP_000NF7U	PP_000NF7U.3	ebola-zaire	LP930606	-:PAT	Sequence 1 from Patent EP3204773
PP_000NF8S	PP_000NF8S.3	ebola-zaire	LP930607	-:PAT	Sequence 2 from Patent EP3204773
PP_000NF9Q	PP_000NF9Q.3	ebola-zaire	LP930608	-:PAT	Sequence 3 from Patent EP3204773
PP_000NFDG	PP_000NFDG.3	ebola-zaire	LQ278169	-:PAT	Sequence 1 from Patent WO2016069853
PP_000NFEE	PP_000NFEE.3	ebola-zaire	LQ278170	-:PAT	Sequence 2 from Patent WO2016069853
PP_000NFFC	PP_000NFFC.3	ebola-zaire	LQ278171	-:PAT	Sequence 3 from Patent WO2016069853
PP_000NFK3	PP_000NFK3.3	ebola-zaire	LQ420617	-:PAT	Sequence 3 from Patent WO2016128748
PP_000NGAM	PP_000NGAM.3	ebola-zaire	LQ430444	-:PAT	Sequence 1 from Patent WO2016134144
PP_000NGCH	PP_000NGCH.3	ebola-zaire	LQ440243	-:PAT	Sequence 12 from Patent EP3055430
PP_000NGED	PP_000NGED.3	ebola-zaire	LQ512013	-:PAT	Sequence 313 from Patent WO2016123019
PP_000NGFB	PP_000NGFB.3	ebola-zaire	LQ817111	-:PAT	Sequence 1 from Patent EP3342865
PP_000NGG9	PP_000NGG9.3	ebola-zaire	LQ817112	-:PAT	Sequence 2 from Patent EP3342865
PP_000NGQS	PP_000NGQS.3	ebola-zaire	MS908784	-:PAT	Sequence 15 from Patent WO2017060662
PP_000NGRQ	PP_000NGRQ.3	ebola-zaire	LX074018	-:PAT	JP 2017048207-A/1: Adenovirus Serotype 26 and Serotype 35 Filovirus Vaccines
